team,opponent,made,x,y,num,player,points,shot_type,date,venue
NU,UST,0,8,3,9,J. Clemente,2,jump shot,2018.09.08,MOA
NU,UST,1,0,2,10,I. Gaye,2,dunk,2018.09.08,MOA
NU,UST,1,-1,16,8,A. Joson,2,jump shot,2018.09.08,MOA
NU,UST,0,4,8,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,0,62,43,1,D. Ildefonso,3,jump shot,2018.09.08,MOA
NU,UST,1,7,3,8,A. Joson,2,lay up,2018.09.08,MOA
NU,UST,0,0,24,0,S. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,0,-9,5,9,J. Clemente,2,jump shot,2018.09.08,MOA
NU,UST,1,-28,7,10,I. Gaye,2,jump shot,2018.09.08,MOA
NU,UST,0,15,14,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,0,70,-2,9,J. Clemente,3,jump shot,2018.09.08,MOA
NU,UST,0,7,11,0,S. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,0,30,23,15,D. Yu,2,jump shot,2018.09.08,MOA
NU,UST,0,-1,53,13,M. Aquino,2,jump shot,2018.09.08,MOA
NU,UST,0,-52,17,13,M. Aquino,2,jump shot,2018.09.08,MOA
NU,UST,0,63,6,19,J. Gallego,2,jump shot,2018.09.08,MOA
NU,UST,1,-9,2,5,A. Diputado,2,lay up,2018.09.08,MOA
NU,UST,1,-43,20,13,M. Aquino,2,jump shot,2018.09.08,MOA
NU,UST,0,1,8,19,J. Gallego,2,jump shot,2018.09.08,MOA
NU,UST,0,2,9,21,T. Rike,2,jump shot,2018.09.08,MOA
NU,UST,1,-2,8,13,M. Aquino,2,lay up,2018.09.08,MOA
NU,UST,0,70,-5,15,D. Yu,3,jump shot,2018.09.08,MOA
NU,UST,0,-11,11,13,M. Aquino,2,jump shot,2018.09.08,MOA
NU,UST,0,-1,22,8,A. Joson,2,jump shot,2018.09.08,MOA
NU,UST,0,6,7,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,1,-2,11,21,T. Rike,2,jump shot,2018.09.08,MOA
NU,UST,1,15,12,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,0,-9,3,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,0,56,48,15,D. Yu,3,jump shot,2018.09.08,MOA
NU,UST,1,61,42,1,D. Ildefonso,3,jump shot,2018.09.08,MOA
NU,UST,1,-7,4,10,I. Gaye,2,lay up,2018.09.08,MOA
NU,UST,0,11,8,0,S. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,0,15,2,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,1,57,45,15,D. Yu,3,jump shot,2018.09.08,MOA
NU,UST,0,41,20,15,D. Yu,2,jump shot,2018.09.08,MOA
NU,UST,1,0,75,1,D. Ildefonso,3,jump shot,2018.09.08,MOA
NU,UST,0,-3,15,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,1,10,2,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,1,-8,1,14,J. Galinato,2,jump shot,2018.09.08,MOA
NU,UST,0,-30,13,1,D. Ildefonso,2,jump shot,2018.09.08,MOA
NU,UST,1,7,3,8,A. Joson,2,lay up,2018.09.08,MOA
